Cluster,Sessions Frequency,Sessions Frequency,Sessions Frequency,Sessions Frequency,Session Duration,Session Duration,Session Duration,Session Duration,Total DL Traffic,Total DL Traffic,Total DL Traffic,Total DL Traffic,Total UL Traffic,Total UL Traffic,Total UL Traffic,Total UL Traffic
,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum
0,0.0,0.30000000000000004,0.10802225703635676,1999.6000000000001,0.004314200420336051,0.3340306524853808,0.075825288967961,1403.601924085926,0.01170435869484742,0.37926532906048044,0.19241005935198854,3561.70260866466,0.05550531346063214,0.4187471828896354,0.19974461901954504,3697.4726426707985
1,0.0,0.1,0.0007480194842768619,71.10000000000001,0.0,0.21813994296994954,0.03688858204826697,3506.296612269824,0.0,0.18541257247679396,0.09246677828931257,8789.05974317745,0.0,0.2299953237287438,0.09257519267356377,8799.36463881491
2,0.20000000000000004,1.0,0.2646890450169139,1017.2000000000002,0.01371420259824305,1.0,0.164665880784107,632.8109798533231,0.11950158367702843,0.9999999999999999,0.36834319780236036,1415.5429091544709,0.1597300040311553,1.0,0.36090212521875065,1386.9468672156588
